Fecha,Dia,Casos Totales,Recuperados,Fallecidos,Removidos
3/3/2020,1,1,0,0,0
3/4/2020,2,3,0,0,0
3/5/2020,3,4,0,0,0
3/6/2020,4,5,0,0,0
3/7/2020,5,7,0,0,0
3/8/2020,6,10,0,0,0
3/9/2020,7,15,0,0,0
3/10/2020,8,17,0,0,0
3/11/2020,9,23,0,0,0
3/12/2020,10,33,0,0,0
3/13/2020,11,43,0,0,0
3/14/2020,12,61,0,0,0
3/15/2020,13,75,0,0,0
3/16/2020,14,156,0,0,0
3/17/2020,15,201,1,0,1
3/18/2020,16,238,3,0,3
3/19/2020,17,342,4,0,4
3/20/2020,18,434,5,0,5
3/21/2020,19,537,6,0,6
3/22/2020,20,632,8,1,9
3/23/2020,21,746,11,1,12
3/24/2020,22,922,17,2,19
3/25/2020,23,1142,22,3,25
3/26/2020,24,1306,33,4,37
3/27/2020,25,1610,43,5,48
3/28/2020,26,1909,61,6,67
3/29/2020,27,2139,75,7,82
3/30/2020,28,2449,156,8,164
3/31/2020,29,2738,201,12,213
4/1/2020,30,3031,234,16,250
4/2/2020,31,3404,335,18,353
4/3/2020,32,3737,427,22,449
4/4/2020,33,4161,528,27,555
4/5/2020,34,4471,617,34,651
4/6/2020,35,4815,728,37,765
4/7/2020,36,5116,898,43,941
4/8/2020,37,5546,1115,48,1163
4/9/2020,38,5972,1274,57,1331
4/10/2020,39,6501,1571,65,1636
4/11/2020,40,6927,1864,73,1937
4/12/2020,41,7213,2059,80,2139
4/13/2020,42,7525,2367,82,2449
4/14/2020,43,7917,2646,92,2738
4/15/2020,44,8273,2937,94,3031
4/16/2020,45,8807,3299,105,3404
4/17/2020,46,9252,3621,116,3737
4/18/2020,47,9730,4035,126,4161
4/19/2020,48,10088,4338,133,4471
4/20/2020,49,10507,4676,139,4815
4/21/2020,50,10832,4969,147,5116
4/22/2020,51,11296,5386,160,5546
4/23/2020,52,11812,5804,168,5972
4/24/2020,53,12306,6327,174,6501
4/25/2020,54,12858,6746,181,6927
4/26/2020,55,13331,7024,189,7213
4/27/2020,56,13813,7327,198,7525
4/28/2020,57,14365,7710,207,7917
4/29/2020,58,15135,8057,216,8273
4/30/2020,59,16023,8580,227,8807
5/1/2020,60,17008,9018,234,9252
5/2/2020,61,18435,9572,247,9819
5/3/2020,62,19663,10041,260,10301
5/4/2020,63,20643,10415,270,10685
5/5/2020,64,22016,10710,275,10985
5/6/2020,65,23048,11189,281,11470
5/7/2020,66,24581,11664,285,11949
5/8/2020,67,25972,12160,294,12454
5/9/2020,68,27219,12667,304,12971
5/10/2020,69,28866,13112,312,13424
5/11/2020,70,30063,13605,323,13928
5/12/2020,71,31721,14125,335,14460
5/13/2020,72,34381,14865,346,15211
5/14/2020,73,37040,15655,368,16023
5/15/2020,74,39542,16614,394,17008
5/16/2020,75,41428,18014,421,18435
5/17/2020,76,43781,19213,450,19663
5/18/2020,77,46059,20165,478,20643
5/19/2020,78,49579,21507,509,22016
5/20/2020,79,53617,22504,544,23048
5/21/2020,80,57581,23992,589,24581
5/22/2020,81,61857,25342,630,25972
5/23/2020,82,65393,26546,673,27219
5/24/2020,83,69102,28148,718,28866
5/25/2020,84,73997,29302,761,30063
5/26/2020,85,77961,30915,806,31721
5/27/2020,86,82289,33540,841,34381
5/28/2020,87,86943,36115,890,37005
5/29/2020,88,90638,38598,944,39542
5/30/2020,89,94858,40431,997,41428
5/31/2020,90,99688,42727,1054,43781
6/1/2020,91,105159,44946,1113,46059
