alpha,beta,sigma,x0_alpha,x0_beta,x0_sigma,func_obj,rmse
127435.76204980093,16898.358641406034,18.2385146780969,1500.0,20.0,8.0,48128.3,22.99744386387791
149211.20609551066,19661.51659128779,18.26736005501319,1500.0,20.0,13.5,48090.59,22.988432083585646
144667.6346170577,19459.149978955433,18.184669854833253,1500.0,20.0,19.0,48128.49,22.99748949438349
124998.80242496393,17184.668976756904,18.09512800433769,1500.0,20.0,24.5,48310.49,23.04093178974066
100358.47431111711,13349.16683464239,18.21961723616329,1500.0,20.0,30.0,48204.59,23.015662827006015
154602.84991069505,20458.64948735912,18.251122442876433,1500.0,65.0,8.0,48079.19,22.985707707420424
59033.26571208093,8403.945560263484,17.933312302726286,1500.0,65.0,13.5,48916.61,23.18502034625679
174324.95134024342,23893.668446965814,18.11397292458055,1500.0,65.0,19.0,48232.91,23.022423583111344
697256.5165222618,51052.834727650734,21.01713926965713,1500.0,65.0,24.5,103983.21,33.80344106931738
719099.8232769386,94453.84989543466,18.296765479051974,1500.0,65.0,30.0,47902.27,22.943377584191744
124340.84969237483,16503.299463037725,18.234661355101924,1500.0,110.0,8.0,48135.45,22.99915204362016
105021.65239542235,13956.539449430118,18.22467781214351,1500.0,110.0,13.5,48188.57,23.01183853739918
798869.318314887,102865.60163022514,18.37741376592797,1500.0,110.0,19.0,47953.65,22.95567803971499
236516.6972768215,31199.56718169029,18.27070442117998,1500.0,110.0,24.5,48000.38,22.966859787738056
330825.97970036464,43567.65277327188,18.281147368914336,1500.0,110.0,30.0,47958.46,22.95683061336236
166168.61313161734,22027.790637687598,18.245482877762914,1500.0,155.0,8.0,48063.97,22.982068196493806
174675.1193115683,23065.410619354883,18.26197430410591,1500.0,155.0,13.5,48053.11,22.979472195375347
93894.50101452258,12485.786316144853,18.218624752620883,1500.0,155.0,19.0,48229.77,23.021674831858057
813897.1448246802,101711.77591482371,18.49964921779715,1500.0,155.0,24.5,48249.45,23.026371137070115
123751.08481979567,16871.936243361855,18.127667207226967,1500.0,155.0,30.0,48240.04,23.024126088525428
114880.28886677058,15818.75434855171,18.08671192299085,1500.0,200.0,8.0,48341.32,23.048282439761994
77586.47119619494,10748.444079252242,18.050105332773885,1500.0,200.0,13.5,48493.11,23.08443829874873
97190.68484503531,13297.13117267583,18.10834360473584,1500.0,200.0,19.0,48322.91,23.04389266622763
